SourceFile	Instrument	SerialNumber	DeconvolutionEngine	StartTimeStamp	RTDuration	mzMLMS1Count	mzMLMSnCount	DeconvMSnWithPeaksCount	DeconvMSnWithoutPeaksCount	DeconvMSnWithPeaksFraction	Redundancy	HighestDegree	LargestComponentSize	ComponentCount	mzMLHCDCount	mzMLCIDCount	mzMLETDCount	mzMLECDCount	mzMLEThcDCount	mzMLETciDCount	mzMLPreZMin	mzMLPreZQ1	mzMLPreZQ2	mzMLPreZQ3	mzMLPreZMax	DeconvPreZMin	DeconvPreZQ1	DeconvPreZQ2	DeconvPreZQ3	DeconvPreZMax	DeconvPreMassMin	DeconvPreMassQ1	DeconvPreMassQ2	DeconvPreMassQ3	DeconvPreMassMax	mzMLPeakCountMin	mzMLPeakCountQ1	mzMLPeakCountQ2	mzMLPeakCountQ3	mzMLPeakCountMax	DeconvPeakCountMin	DeconvPeakCountQ1	DeconvPeakCountQ2	DeconvPeakCountQ3	DeconvPeakCountMax	AALinkCountMin	AALinkCountQ1	AALinkCountQ2	AALinkCountQ3	AALinkCountMax	TagLengthMin	TagLengthQ1	TagLengthQ2	TagLengthQ3	TagLengthMax	AALinkCountAbove2	TagLengthAbove2
LCA_11092018_APA_DS45_F6A_01	LTQ FT Ultra	LTQ40421	TopFD	2018-11-09T15:42:08Z	115.12182	2181	1223	1188	35	0.97138184	0.00011062606	10	11	1148	0	1223	0	0	0	0	3	9	11	17	25	0	10	18	24	30	726.13533	11658.56404	19221.51395	27214.28566	41635.68881	396	9543	10000	10000	10000	0	188	321	447	680	0	5	11	20	184	0	1	2	3	19	989	340
LCA_11092018_APA_DS45_F6A_02	LTQ FT Ultra	LTQ40421	TopFD	2018-11-09T18:49:19Z	114.95183	2254	1241	1190	51	0.9589041	7.915698E-05	6	8	1150	0	1241	0	0	0	0	3	8	11	17	25	0	10	18	24	30	711.2279	11812.04382	18874.05107	27841.96584	41851.98641	385	8586	10000	10000	10000	0	189	315	455	684	0	5	10	19	181	0	1	1	3	19	995	338
LCA_11092018_APA_DS45_F7A_01	LTQ FT Ultra	LTQ40421	TopFD	2018-11-09T22:11:42Z	115.09904	2127	1160	1126	34	0.97068965	1.4209591E-05	1	2	1117	0	1160	0	0	0	0	3	7	9	15	25	0	10	19	26	30	726.13715	11434.16817	21244.50659	29633.76588	41904.06551	410	6089	10000	10000	10000	0	180	342	461	688	0	4	8	15	166	0	1	1	2	18	885	238
LCA_11102018_APA_DS45_F7A_02	LTQ FT Ultra	LTQ40421	TopFD	2018-11-10T09:12:57Z	114.94504	1113	1151	1127	24	0.97914857	1.7336459E-05	2	3	1118	0	1151	0	0	0	0	3	6	8	15	21	0	13	21	26	30	722.20253	14411.53205	24352.7324	30861.44672	41965.91081	441	6157	10000	10000	10000	0	193	365	481	687	0	4	8	15	215	0	1	1	2	14	928	233
LCA_11102018_APA_DS45_F8A_01_1E6_6uSMS1_2uSMS2	LTQ FT Ultra	LTQ40421	TopFD	2018-11-10T11:32:45Z	115.14649	1957	963	937	26	0.97300106	5.4730044E-05	4	5	920	0	963	0	0	0	0	3	6	8	11	23	0	13	21	26	30	722.20241	15125.6981	25011.08187	31188.01544	41665.68281	216	2218	4804	8228	10000	0	108	262	395	584	0	1	4	8	115	0	1	1	1	16	559	125
LCA_11102018_APA_DS45_F8A_02_1E6_8uSMS1_2uSMS2	LTQ FT Ultra	LTQ40421	TopFD	2018-11-10T13:42:21Z	115.08944	999	848	832	16	0.9811321	9.5459596E-05	6	7	814	0	848	0	0	0	0	3	6	8	11	24	0	13	21	27	30	711.22796	14134.13601	25104.93327	32676.07984	41986.29701	468	2240	4945	8429	10000	0	115	258	405	604	0	1	4	9	137	0	1	1	1	23	502	131
LCA_11102018_APA_DS46_F5A_01	LTQ FT Ultra	LTQ40421	TopFD	2018-11-11T05:06:44Z	107.76111	615	997	951	46	0.9538616	0.00018595385	8	13	895	0	997	0	0	0	0	5	11	18	21	25	0	11	20	24	30	703.15235	12144.43992	22884.58333	25716.07528	36903.9063	379	3229	9095	10000	10000	0	139	346	406	534	0	4	16	37	217	0	1	2	4	18	748	431
LCA_11102018_APA_DS46_F5A_02	LTQ FT Ultra	LTQ40421	TopFD	2018-11-11T07:22:48Z	115.00626	2064	1092	1059	33	0.9697802	0.00016065376	9	15	995	0	1092	0	0	0	0	3	11	18	20	25	0	11	20	24	30	703.15244	11977.89031	22884.58238	25559.57736	35940.88061	434	4000	10000	10000	10000	0	159	365	418	552	0	5	17	37	182	0	1	2	4	16	834	492
LCA_11102018_APA_DS46_F6A_01_4uSMS1	LTQ FT Ultra	LTQ40421	TopFD	2018-11-11T09:34:48Z	115.05999	2045	1109	1075	34	0.96934175	6.929107E-05	8	12	1051	0	1109	0	0	0	0	3	6	9	18	25	0	7	17	24	30	703.15287	7593.72315	17949.1799	26521.69408	39652.94681	419	3451	9380	10000	10000	0	102	263	409	605	0	2	7	15	207	0	1	1	2	17	732	239
LCA_11102018_APA_DS46_F6A_02_8uSMS1_2uSMS2	LTQ FT Ultra	LTQ40421	TopFD	2018-11-11T11:43:29Z	114.91735	1756	557	543	14	0.9748654	0.0004213302	11	12	519	0	557	0	0	0	0	4	7	9	17	24	0	6	17	25	30	709.21166	6793.76336	17624.06007	27788.76872	40705.63961	432	4239	10000	10000	10000	0	80	273	447	615	0	2	10	25	166	0	1	2	4	18	399	194
